peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
64.55,1.69,V,36,10,0,1,10,3,0,N,0,2,2
56.93,1.7,V,29,0,14,1,11,12,0,N,2,2,1
52.63,1.71,V,37,70,2,0,0,6,0,N,0,1,2
74.18,1.67,M,28,0,3,2,9,12,NA,N,0,0,0
125.32,1.77,V,57,0,10,4,0,0,2,N,0,1,1
58.32,1.8,V,45,30,11,0,8,2,0,N,0,1,2
101.12,1.59,M,70,0,0,2,0,0,0,N,1,2,2
60.28,1.81,V,24,0,2,1,15,14,0,N,1,2,2
106.53,1.69,M,55,0,4,2,4,10,0,N,0,1,1
57.03,1.78,V,68,210,8,0,0,3,3,N,1,1,1
106.78,1.64,M,46,0,2,0,0,0,0,N,0,1,1
47.24,1.62,M,38,80,1,2,13,9,0,N,2,3,3
50.69,1.55,M,29,0,0,0,15,9,0,N,1,1,1
45.51,1.59,M,63,60,2,3,0,0,0,N,1,2,1
107.58,1.64,M,64,0,9,6,3,0,0,N,2,2,3
48.41,1.64,M,45,30,7,0,6,0,2,N,2,1,0
69.52,1.59,M,26,0,0,0,6,0,4,N,2,3,3
87.43,1.71,M,44,0,0,7,9,0,0,N,2,4,4
87.39,1.62,M,39,0,0,0,8,0,0,N,1,1,0
79.71,1.63,M,35,0,0,0,2,9,0,N,1,3,2
49.82,1.65,M,46,30,0,0,3,4,0,N,0,2,1
90.68,1.79,V,32,0,8,0,0,3,0,N,2,4,2
55.12,1.75,M,25,0,4,0,18,4,0,N,1,3,3
79.4,1.69,V,26,0,3,0,3,13,0,N,0,1,2
52.63,1.71,V,39,110,3,0,0,0,0,S,0,0,0
54.5,1.74,V,38,40,21,9,0,0,0,N,0,1,3
99.96,1.69,V,62,0,0,2,6,6,0,N,3,4,4
93.36,1.77,V,42,0,19,0,10,1,0,N,0,0,1
49,1.65,M,46,160,5,0,15,8,NA,N,1,0,3
93.55,1.74,V,39,0,0,3,12,0,7,N,2,2,3
104.98,1.62,M,64,0,7,6,0,5,0,N,0,0,1
71.38,1.7,M,24,0,0,5,5,7,0,S,2,4,4
106.64,1.66,M,58,0,7,5,0,6,0,N,0,2,3
54.84,1.69,V,35,0,0,2,20,13,0,N,0,2,2
60.28,1.83,V,18,90,0,3,7,2,0,N,3,3,4
97,1.66,M,46,0,7,5,0,0,0,N,1,3,3
73.69,1.7,M,24,0,6,0,10,8,4,N,2,1,0
87.97,1.69,M,36,0,0,2,4,8,0,S,2,3,3
103.61,1.78,V,38,0,0,2,0,3,0,N,3,4,3
54.5,1.74,V,43,0,14,0,30,19,0,N,2,1,0
71.79,1.56,M,36,0,3,5,12,0,1,N,1,1,3
47.24,1.62,M,61,90,17,4,7,4,0,N,1,2,2
81.65,1.61,M,40,0,0,0,10,0,2,N,2,2,1
46.66,1.61,M,44,220,0,3,11,1,6,N,0,1,2
90.07,1.63,M,51,0,8,0,9,0,0,N,2,2,2
108.08,1.65,M,39,0,0,1,0,0,0,N,0,1,0
80.84,1.74,M,45,0,6,6,8,5,0,N,2,4,4
90.03,1.68,M,43,0,0,0,8,0,0,N,1,2,3
91.18,1.64,V,42,0,4,3,0,6,0,N,1,3,2
49.6,1.66,M,46,40,11,4,0,0,0,N,2,2,3
60.94,1.84,V,41,60,0,4,0,5,0,N,0,1,0
115.6,1.7,V,46,0,0,3,0,0,0,N,0,0,0
78.38,1.63,M,39,0,0,0,7,5,0,N,2,3,2
92.57,1.68,M,40,0,0,4,8,1,0,N,0,0,1
107.8,1.75,V,47,0,0,5,2,4,7,N,1,3,4
72.51,1.67,M,19,0,0,0,0,2,0,N,2,3,3
66.04,1.68,V,18,0,0,3,6,2,0,N,1,3,2
63.29,1.7,V,46,0,0,0,21,10,0,N,2,2,3
47.24,1.62,M,47,110,0,1,0,9,2,N,0,2,2
119.72,1.73,V,63,0,0,2,0,0,4,N,1,2,1
110.26,1.78,V,38,0,0,5,1,0,0,N,1,2,3
103.68,1.69,M,42,0,0,0,0,3,0,N,0,3,2
51.41,1.69,M,40,180,0,4,9,2,4,N,0,1,0
50.2,1.67,M,28,40,0,0,10,8,0,N,1,4,4
96.25,1.69,M,68,0,0,0,13,9,0,N,3,4,4
102.4,1.6,M,70,0,0,2,8,0,0,N,0,0,2
105.48,1.7,M,41,0,0,0,2,0,0,S,0,0,2
110.86,1.75,V,43,0,0,0,5,1,7,N,1,1,2
78.26,1.66,V,46,0,0,0,13,4,0,S,2,4,4
57.03,1.78,V,44,190,7,3,19,12,0,N,3,4,4
74.85,1.72,V,25,0,13,2,0,5,0,S,2,2,3
52.63,1.71,V,39,120,0,3,6,2,0,N,2,4,4
